channel_id,title,canonical_channel_url,subscriber_count,video_count,view_count,category,country,channel_image,channel_url
UCYiGq8XF7YQD00x7wAd62Zg,JuegaGerman,http://www.youtube.com/@JuegaGerman,51100000,2221,15845873878,Other,Chile,https://yt3.googleusercontent.com/BKHlUq9E_g6Lz4vNsgRK-1H9rchEzO9KoyTLvu-FZ3WM3iifH_AVlX-IRcSXHXmEUup1nTgRnA=s900-c-k-c0x00ffffff-no-rj,https://www.ytrank.com/channel/juegagerman-UCYiGq8XF7YQD00x7wAd62Zg
UCstEtN0pgOmCf02EdXsGChw,ABS-CBN Entertainment,http://www.youtube.com/@abscbnentertainment,49600000,234429,55807464357,People & Blogs,Philippines,https://yt3.googleusercontent.com/ytc/AIdro_lsT-b6Oht3l9M9040h4ga7nNrh5CBOqrx-Hncsccq5bl8=s900-c-k-c0x00ffffff-no-rj,https://www.ytrank.com/channel/abs-cbn-entertainment-UCstEtN0pgOmCf02EdXsGChw
UC6gVx_vALsYT-z_u1djJbBQ,BETER BÖCÜK,http://www.youtube.com/@beterbocuk,49200000,4425,29120884211,Travel & Events,Türkiye,https://yt3.googleusercontent.com/WkOddvuvqG9_YKpkw7Z0SvJdA6ylyXtxazXW-D3I-ZrHFrJiZcwSC3uxy6RPer8ZQd-9VC0Ivg=s900-c-k-c0x00ffffff-no-rj,https://www.ytrank.com/channel/beter-bck-UC6gVx_vALsYT-z_u1djJbBQ
UCu59yAFE8fM0sVNTipR4edw,Masha and The Bear,http://www.youtube.com/@MashaBearEN,49100000,1632,29394059675,Anime & Animation,United States,https://yt3.googleusercontent.com/cDRqUdh3UCmB8DRvf49ozItOaF72PWlt0D6GRcPSMlt6TeeGvqHWC4IO5pW9Isf68IMNnSac3w=s900-c-k-c0x00ffffff-no-rj,https://www.ytrank.com/channel/masha-and-the-bear-UCu59yAFE8fM0sVNTipR4edw
UCZs0WwC0Dn_noiQE2BHSTKg,Alejo Igoa,http://www.youtube.com/@AlejoIgoa,48700000,1112,18825981586,People & Blogs,Argentina,https://yt3.googleusercontent.com/QcWKIhGN9r_1qQbldFLlnvkfQJyKZTGMcpCAmGkQoptuNyFhMctuXoPnDuqr3e-ulPlcTh11=s900-c-k-c0x00ffffff-no-rj,https://www.ytrank.com/channel/alejo-igoa-UCZs0WwC0Dn_noiQE2BHSTKg
UCYWOjHweP2V-8kGKmmAmQJQ,Badabun,http://www.youtube.com/@badabunOficial,47600000,23541,19854978951,People & Blogs,Mexico,https://yt3.googleusercontent.com/80xetee0SWVYmzEzpqOHG-MhmBZ1xapnmGVAUqtYxQnVSB7-NAh95XzCF6iexAuclKTns0b-=s900-c-k-c0x00ffffff-no-rj,https://www.ytrank.com/channel/badabun-UCYWOjHweP2V-8kGKmmAmQJQ
UC-LPIU24bQXVljUXivKEeRQ,StarPlus,http://www.youtube.com/@starplus,47600000,107460,50467694449,People & Blogs,India,https://yt3.googleusercontent.com/dTXsoAPnQ3rEkf7Mw8CTbH3wvnnhCzdahQU_HLgYNbH_dV5Sn_ql-gK_Sv1gpIqcMZmxEmkFmQ=s900-c-k-c0x00ffffff-no-rj,https://www.ytrank.com/channel/starplus-UC-LPIU24bQXVljUXivKEeRQ
UC_gV70G_Y51LTa3qhu8KiEA,LUCCAS NETO - LUCCAS TOON,http://www.youtube.com/@luccastoon,46900000,2914,27263836574,Other,Brazil,https://yt3.googleusercontent.com/ytc/AIdro_kobisNMlD3aRBfca97BOhn8Yi4FrePdJWUG2J2uggvciM=s900-c-k-c0x00ffffff-no-rj,https://www.ytrank.com/channel/luccas-neto-luccas-toon-UC_gV70G_Y51LTa3qhu8KiEA
UCV306eHqgo0LvBf3Mh36AHg,Felipe Neto,http://www.youtube.com/@felipeneto,46600000,5158,17993105304,Other,Brazil,https://yt3.googleusercontent.com/CYXuAMMhgqaU8bK2VabYbi35CK4ByHRmEJx5tpVncsHhtPfaTacdosGEzkJ5Z-dinGSM7ZXM=s900-c-k-c0x00ffffff-no-rj,https://www.ytrank.com/channel/felipe-neto-UCV306eHqgo0LvBf3Mh36AHg
UCWi_65E_L8tQZ34C6wVAlpQ,Ishtar Music,http://www.youtube.com/@IshtarMusic,46500000,4700,20308075414,Music,India,https://yt3.googleusercontent.com/QRUZOURCOTTbtSQxY-Z2VGwMOdpPZOqxZR1hTaJQRd_Fa-L2j_93QRWFn_ZbXAVOfMhmfIaBlQ=s900-c-k-c0x00ffffff-no-rj,https://www.ytrank.com/channel/ishtar-music-UCWi_65E_L8tQZ34C6wVAlpQ
